Usage (parameters must be supplied in order):
./ping [payloadSize (bytes, 0 - 100M)] [numSamples (0 = infinite)] [timeOut (seconds, 0 = infinite)]
./ping quit - ping sends a quit signal to pong.
Defaults:
./ping 0 0 0
# payloadSize: %65536 | numSamples: %0 | timeOut: %0

# Waiting for startup jitter to stabilise
# Warm up complete.

# Latency measurements (in us)
#             Latency [us]                                   Write-access time [us]       Read-access time [us]
# Seconds     Count   median      min      99%%      max      Count   median      min      Count   median      min
        1      5308       75       66       753     4217       5308        7        5       5308       85       82
        2      6588       69       65       132     1130       6588        6        5       6588       84       82
        3      6559       69       65       133      909       6559        6        5       6559       84       80
        4      6680       69       63       114      934       6680        6        5       6680       83       81
        5      6651       70       65       118      838       6651        6        5       6651       84       81
        6      6671       69       65       129      860       6671        6        5       6671       83       81
        7      6751       68       65       119      798       6751        6        5       6751       83       80
        8      6470       70       65       126      734       6470        6        5       6470       85       81
        9      5425       80       65       252     2780       5425        7        5       5425       85       81
       10      3994      106       66       400     3115       3994        9        5       3994      111       84
       11      6033       70       65       197     1013       6033        7        5       6033       84       82
       12      6447       70       65       133      824       6447        7        5       6447       85       82
       13      6163       72       65       143      987       6163        7        5       6163       86       83
       14      6263       71       65       137      863       6263        7        5       6263       85       82
       15      6093       75       65       153     1101       6093        7        5       6093       86       82
       16      6548       69       65       131      977       6548        7        5       6548       84       82
       17      6222       71       65       159     1142       6222        7        5       6222       85       82
       18      5874       75       66       154     1104       5874        7        5       5874       86       82
       19      6103       71       66       157     1126       6103        7        5       6103       85       82
       20      5496       81       66       185     1834       5496        7        5       5496       91       82
       21      6217       71       65       138     1268       6217        7        5       6217       86       82
       22      5348       87       66       177     1373       5348        7        5       5348       88       83
       23      5583       83       66       180     1141       5583        7        5       5583       89       83
       24      6300       71       65       133     1115       6300        7        5       6300       85       82
       25      5814       74       66       163     1408       5814        7        5       5814       85       82
       26      5818       72       66       167     1289       5818        7        5       5818       85       82
       27      5462       84       66       169     4519       5462        7        5       5462       92       83
       28      5785       78       65       160     1550       5785        7        5       5785       86       83
       29      6307       70       65       136     2008       6307        6        5       6307       85       82
       30      5952       73       65       156     1239       5952        7        5       5952       85       83
       31      5841       75       65       168     1200       5841        7        5       5841       86       83
       32      6281       71       66       142     1199       6281        7        5       6281       85       82
       33      5857       76       66       160     1543       5857        7        5       5857       86       82
       34      6152       71       65       140     1373       6152        7        5       6152       85       81
       35      6287       70       65       139     1628       6287        6        5       6287       84       83
       36      5927       74       66       153     2374       5927        7        5       5927       86       81
       37      6020       70       65       153     2182       6020        6        5       6020       85       82
       38      5962       74       66       152     1345       5962        7        5       5962       86       82
       39      6164       69       65       153     1531       6164        7        5       6164       85       83
       40      6201       71       66       136     1713       6201        6        5       6201       85       82
       41      6337       71       65       140     1830       6337        6        5       6337       85       82
       42      5723       78       66       161     1698       5723        7        5       5723       86       83
       43      6258       71       65       135     1532       6258        7        5       6258       85       83
       44      6143       71       66       143     1760       6143        7        5       6143       85       81
       45      6456       69       65       139     1819       6456        6        5       6456       84       83
       46      6123       73       65       137     1836       6123        7        5       6123       85       82
       47      6301       70       65       130     1499       6301        6        5       6301       84       82
